,,,,
,,,,
"Attendances by attendance source, arrival mode and discharge destination",,,,
"The table below shows a count of A&E attendances (excluding planned attendances) and a rate of total attendances, broken down by attendance source, arrival mode and discharge destination. 
",,,,
,,,,
"Copyright © 2025, NHS England.",,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,
,,,,
Reporting Period,Measure Type,Measure,Attendances,% of total attendances
2024-04,Attendance Source,Referred by carer (finding),19195,0.91
2024-04,Attendance Source,Referred by community mental health nurse (finding),69,0
2024-04,Attendance Source,Referred by community nurse (finding),840,0.04
2024-04,Attendance Source,Referred by dentist (finding),462,0.02
2024-04,Attendance Source,Referred by detention centre (finding),87,0
2024-04,Attendance Source,Referred by health visitor (finding),209,0.01
2024-04,Attendance Source,Referred by homeless drop-in centre (finding),20,0
2024-04,Attendance Source,Referred by hospital emergency department (finding),20935,0.99
2024-04,Attendance Source,Referred by hospital outpatient department (finding),5743,0.27
2024-04,Attendance Source,Referred by hospital ward (finding),2863,0.14
2024-04,Attendance Source,Referred by member of Primary Health Care Team (finding),105887,5.02
2024-04,Attendance Source,Referred by mental health assessment team (finding),359,0.02
2024-04,Attendance Source,Referred by midwife (finding),1198,0.06
2024-04,Attendance Source,Referred by mountain rescue service (finding),26,0
2024-04,Attendance Source,Referred by optician (finding),3014,0.14
2024-04,Attendance Source,Referred by out of hours service (finding),1012,0.05
2024-04,Attendance Source,Referred by pharmacist (finding),3072,0.15
2024-04,Attendance Source,Referred by police (finding),7085,0.34
2024-04,Attendance Source,Referred by private sector physician (finding),350,0.02
2024-04,Attendance Source,Referred by school nurse (finding),1812,0.09
2024-04,Attendance Source,Referred by search and rescue service (finding),1926,0.09
2024-04,Attendance Source,Referred by self (finding),181890,8.62
2024-04,Attendance Source,Referred by service (finding),628,0.03
2024-04,Attendance Source,Referred by urgent care service (finding),51464,2.44
2024-04,Attendance Source,Self-referral to accident and emergency department (procedure),1244584,58.96
2024-04,Attendance Source,Attendance Source Total,2110720,100
2024-04,Discharge Destination,Admission to the mortuary (procedure),1625,0.08
2024-04,Discharge Destination,Discharge to home (procedure),1369123,64.87
2024-04,Discharge Destination,Discharge to hospital at home service (procedure),840,0.04
2024-04,Discharge Destination,Discharge to nursing home (procedure),1768,0.08
2024-04,Discharge Destination,Discharge to police custody (procedure),2418,0.11
2024-04,Discharge Destination,Discharge to residential home (procedure),1541,0.07
2024-04,Discharge Destination,Discharge to ward (procedure),319640,15.14
2024-04,Discharge Destination,Emergency department discharge to ambulatory emergency care service (procedure),60267,2.86
2024-04,Discharge Destination,Emergency department discharge to coronary care unit (procedure),1524,0.07
2024-04,Discharge Destination,Emergency department discharge to emergency department short stay ward (procedure),20089,0.95
2024-04,Discharge Destination,Emergency department discharge to high dependency unit (procedure),855,0.04
2024-04,Discharge Destination,Emergency department discharge to intensive care unit (procedure),1601,0.08
2024-04,Discharge Destination,Emergency department discharge to neonatal intensive care unit (procedure),42,0
2024-04,Discharge Destination,Emergency department discharge to special care baby unit (procedure),28,0
2024-04,Discharge Destination,Not Known,282733,13.4
2024-04,Discharge Destination,"Patient discharge, to legal custody (procedure)",805,0.04
2024-04,Discharge Destination,"Patient transfer, to another health care facility (procedure)",45780,2.17
2024-04,Discharge Destination,Urgent admission to hospice (procedure),41,0
2024-04,Discharge Destination,Discharge Destination Total,2110720,100
2024-05,Arrival Mode,Brought in by ambulance (including helicopter / Air Ambulance),385854,16.93
2024-05,Arrival Mode,Not Known,69389,3.04
2024-05,Arrival Mode,Other,1824142,80.03
2024-05,Arrival Mode,Arrival Mode Total,2279385,100
2024-05,Attendance Source,Advised to attend accident and emergency department (situation),12104,0.53
2024-05,Attendance Source,Arrival by own transport (finding),1,0
2024-05,Attendance Source,Not Known,131442,5.77
2024-05,Attendance Source,Private referral (procedure),280,0.01
2024-05,Attendance Source,Referral by out of hours service (procedure),9519,0.42
2024-05,Attendance Source,Referred by Coastguard Rescue Service (finding),18,0
2024-05,Attendance Source,Referred by Fire and Rescue Service (finding),2127,0.09
2024-05,Attendance Source,Referred by Her Majesty's Prison Service (finding),856,0.04
2024-05,Attendance Source,Referred by National Health Service 111 service (finding),133659,5.86
2024-05,Attendance Source,Referred by Social Services (finding),295,0.01
2024-05,Attendance Source,Referred by adult day care centre (finding),176,0.01
2024-05,Attendance Source,Referred by advanced care practitioner (finding),5713,0.25
2024-05,Attendance Source,Referred by ambulance service (finding),198527,8.71
2024-05,Attendance Source,Referred by carer (finding),20633,0.91
2024-05,Attendance Source,Referred by community mental health nurse (finding),95,0
2024-05,Attendance Source,Referred by community nurse (finding),864,0.04
2024-05,Attendance Source,Referred by dentist (finding),466,0.02
2024-05,Attendance Source,Referred by detention centre (finding),76,0
2024-05,Attendance Source,Referred by health visitor (finding),266,0.01
2024-05,Attendance Source,Referred by homeless drop-in centre (finding),21,0
2024-05,Attendance Source,Referred by hospital emergency department (finding),24014,1.05
2024-05,Attendance Source,Referred by hospital outpatient department (finding),6336,0.28
2024-05,Attendance Source,Referred by hospital ward (finding),2937,0.13
2024-05,Attendance Source,Referred by member of Primary Health Care Team (finding),107354,4.71
2024-05,Attendance Source,Referred by mental health assessment team (finding),396,0.02
2024-05,Attendance Source,Referred by midwife (finding),1355,0.06
2024-05,Attendance Source,Referred by mountain rescue service (finding),33,0
2024-05,Attendance Source,Referred by optician (finding),3080,0.14
2024-05,Attendance Source,Referred by out of hours service (finding),1092,0.05
2024-05,Attendance Source,Referred by pharmacist (finding),3504,0.15
2024-05,Attendance Source,Referred by police (finding),7939,0.35
2024-05,Attendance Source,Referred by private sector physician (finding),413,0.02
2024-05,Attendance Source,Referred by school nurse (finding),2353,0.1
2024-05,Attendance Source,Referred by search and rescue service (finding),2070,0.09
2024-05,Attendance Source,Referred by self (finding),232658,10.21
2024-05,Attendance Source,Referred by service (finding),626,0.03
2024-05,Attendance Source,Referred by urgent care service (finding),54137,2.38
2024-05,Attendance Source,Self-referral to accident and emergency department (procedure),1311950,57.56
2024-05,Attendance Source,Attendance Source Total,2279385,100
2024-05,Discharge Destination,Admission to the mortuary (procedure),1534,0.07
2024-05,Discharge Destination,Discharge to home (procedure),1495457,65.61
2024-05,Discharge Destination,Discharge to hospital at home service (procedure),848,0.04
