,,,,,
,,,,,
Attendances by key clinical fields,,,,,
"The table below shows a count of A&E attendances (excluding planned attendances) and a rate of total attendances, broken down by the following key clinical fields:
- Chief Complaint
- First and secondary diagnosis codes
- Investigation Code
- Treatment Code
",,,,,
,,,,,
"Copyright © 2025, NHS England.",,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,
,,,,,
Reporting Period,Measure Type,Code,Description,Attendances,% of total attendances
2024/25,Chief Complaint,33334006,Foreign body in digestive tract (disorder),21701,0.08
2024/25,Chief Complaint,34124000,Foreign body in vagina (disorder),5265,0.02
2024/25,Chief Complaint,3415004,Cyanosis (finding),3648,0.01
2024/25,Chief Complaint,34436003,Blood in urine (finding),96955,0.38
2024/25,Chief Complaint,361137007,Irregular heart beat (finding),7314,0.03
2024/25,Chief Complaint,366979004,Depressed mood (finding),23808,0.09
2024/25,Chief Complaint,370977006,Frostbite (disorder),179,0
2024/25,Chief Complaint,371704001,Injury due to chemical exposure (disorder),5294,0.02
2024/25,Chief Complaint,371708003,Injury caused by electrical exposure (disorder),5285,0.02
2024/25,Chief Complaint,385486001,Postoperative complication (disorder),50977,0.2
2024/25,Chief Complaint,386661006,Fever (finding),699984,2.71
2024/25,Chief Complaint,386689009,Hypothermia (finding),4177,0.02
2024/25,Chief Complaint,399963005,Abrasion (disorder),42673,0.17
2024/25,Chief Complaint,404640003,Dizziness (finding),240851,0.93
2024/25,Chief Complaint,405729008,Hematochezia (finding),62893,0.24
2024/25,Chief Complaint,40739000,Dysphagia (disorder),7295,0.03
2024/25,Chief Complaint,40917007,Clouded consciousness (finding),126952,0.49
2024/25,Chief Complaint,409668002,Photophobia (finding),4815,0.02
2024/25,Chief Complaint,410429000,Cardiac arrest (disorder),10744,0.04
2024/25,Chief Complaint,41652007,Pain in eye (finding),200070,0.77
2024/25,Chief Complaint,417746004,Traumatic injury (disorder),19974,0.08
2024/25,Chief Complaint,417981005,Exposure to blood and/or body fluid (event),17524,0.07
2024/25,Chief Complaint,418363000,Itching of skin (finding),28326,0.11
2024/25,Chief Complaint,421581006,Pharyngeal swelling (finding),20951,0.08
2024/25,Chief Complaint,422400008,Vomiting (disorder),393206,1.52
2024/25,Chief Complaint,422587007,Nausea (finding),20516,0.08
2024/25,Chief Complaint,422970001,Cardiac arrest due to trauma (disorder),322,0
2024/25,Chief Complaint,427461000,Near syncope (disorder),158165,0.61
2024/25,Chief Complaint,428566005,Gestation less than 20 weeks (finding),140626,0.54
2024/25,Chief Complaint,429715006,Gestation greater than 20 weeks (finding),8566,0.03
2024/25,Chief Complaint,430576002,At risk for injury due to fall (finding),6833,0.03
2024/25,Chief Complaint,44077006,Numbness (finding),77430,0.3
2024/25,Chief Complaint,444905003,Mass of soft tissue (finding),10694,0.04
2024/25,Chief Complaint,449614009,Swelling of lower limb (finding),41544,0.16
2024/25,Chief Complaint,450724008,Injury of cervical region of back (disorder),4750,0.02
2024/25,Chief Complaint,47609003,Foreign body in esophagus (disorder),9791,0.04
2024/25,Chief Complaint,48694002,Anxiety (finding),31600,0.12
2024/25,Chief Complaint,49650001,Dysuria (finding),175649,0.68
2024/25,Chief Complaint,49727002,Cough (finding),435728,1.69
2024/25,Chief Complaint,55899000,Foreign body on external eye (disorder),82716,0.32
2024/25,Chief Complaint,56890008,Victim of sexual aggression (finding),1150,0
2024/25,Chief Complaint,57335002,"Toxic effect of gas, fumes AND/OR vapors (disorder)",5465,0.02
2024/25,Chief Complaint,60728008,Swollen abdomen (finding),20050,0.08
2024/25,Chief Complaint,60862001,Tinnitus (finding),4308,0.02
2024/25,Chief Complaint,62315008,Diarrhea (finding),143591,0.56
2024/25,Chief Complaint,63102001,Visual disturbance (disorder),176976,0.69
2024/25,Chief Complaint,6471006,Suicidal thoughts (finding),77693,0.3
2024/25,Chief Complaint,65958008,Hiccoughs (finding),1093,0
2024/25,Chief Complaint,66214007,Substance abuse (disorder),158013,0.61
2024/25,Chief Complaint,66857006,Hemoptysis (finding),28142,0.11
2024/25,Chief Complaint,68235000,Nasal congestion (finding),17196,0.07
2024/25,Chief Complaint,6923002,Injury of perineum (disorder),5921,0.02
2024/25,Chief Complaint,7011001,Hallucinations (finding),19558,0.08
2024/25,Chief Complaint,70176004,Foreign body in rectum (disorder),1483,0.01
2024/25,Chief Complaint,70407001,Stridor (finding),68901,0.27
2024/25,Chief Complaint,713514005,Muscle weakness of limb (finding),86286,0.33
2024/25,Chief Complaint,74699008,Foreign body in nose (disorder),14880,0.06
2024/25,Chief Complaint,75441006,Foreign body in ear (disorder),45272,0.18
2024/25,Chief Complaint,75478009,Poisoning (disorder),75019,0.29
2024/25,Chief Complaint,75705005,Red eye (disorder),114250,0.44
2024/25,Chief Complaint,762898005,Swelling of bilateral lower limbs (finding),22267,0.09
2024/25,Chief Complaint,77880009,Rectal pain (finding),31211,0.12
2024/25,Chief Complaint,78680009,"Hospital admission, emergency, direct (procedure)",142093,0.55
2024/25,Chief Complaint,79890006,Loss of appetite (finding),20905,0.08
2024/25,Chief Complaint,80313002,Palpitations (finding),241824,0.94
2024/25,Chief Complaint,80394007,Hyperglycemia (disorder),42386,0.16
2024/25,Chief Complaint,81680005,Neck pain (finding),80507,0.31
2024/25,Chief Complaint,82271004,Injury of head (disorder),731894,2.83
2024/25,Chief Complaint,83128009,Oliguria (finding),31694,0.12
2024/25,Chief Complaint,84387000,Asymptomatic (finding),126377,0.49
2024/25,Chief Complaint,87317003,Respiratory arrest (disorder),2002,0.01
2024/25,Chief Complaint,8765009,Hematemesis (disorder),50976,0.2
2024/25,Chief Complaint,87970004,Nonfatal submersion (disorder),812,0
2024/25,Chief Complaint,90460009,Injury of neck (disorder),52182,0.2
2024/25,Chief Complaint,91175000,Seizure (finding),212207,0.82
2024/25,Chief Complaint,93459000,Foreign body in subcutaneous tissue (disorder),49062,0.19
2024/25,Chief Complaint,95666008,Weakness of face muscles (finding),48903,0.19
2024/25,Chief Complaint,95668009,Pain in face (finding),155720,0.6
2024/25,Chief Complaint,INVALID,INVALID,340100,1.32
2024/25,Chief Complaint,NOT SUBMITTED,NOT SUBMITTED,4543453,17.6
2024/25,Chief Complaint,Chief Complaint_TOTAL,Chief Complaint_TOTAL,25822265,100
